2015-08-28,全銘柄日足,http://k-db.com/
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
2001-T,日本製粉,東証1部,食料品,746,768,746,766,340000,258081000
2002-T,日清製粉グループ本社,東証1部,食料品,1678,1700,1630,1675,2517100,4183683800
2003-T,日東富士製粉,東証1部,食料品,331,334,329,331,27000,8945000
2004-T,昭和産業,東証1部,食料品,458,458,449,454,98000,44393000
2006-T,東福製粉,東証2部,食料品,125,128,125,128,20000,2518000
2006-F,東福製粉,福証,食料品,-,-,-,-,0,0
2008-T,増田製粉所,東証2部,食料品,-,-,-,-,0,0
2009-T,鳥越製粉,東証1部,食料品,732,732,725,729,12600,9180900
2009-F,鳥越製粉,福証,食料品,-,-,-,-,0,0
2021-T,iPath 商品指数連動受益証券発行信託,東証,その他,3145,3535,3145,3205,29,94705
2022-T,iPath 貴金属指数連動受益証券発行信託,東証,その他,5310,5310,5310,5310,1,5310
2023-T,iPath 産業用金属指数連動受益証券発行信託,東証,その他,-,-,-,-,0,0
2024-T,iPath エネルギー指数連動受益証券発行信託,東証,その他,3500,3590,3500,3590,100,354570
2025-T,iPath 農産物指数連動受益証券発行信託,東証,その他,5200,5200,5200,5200,20,104000
2026-T,iPath 穀物指数連動受益証券発行信託,東証,その他,5500,5500,5500,5500,230,1265000
2027-T,iPath ソフト農産物指数連動受益証券発行信託,東証,その他,3785,3790,3785,3790,22,83360
2028-T,iPath 畜産物指数連動受益証券発行信託,東証,その他,-,-,-,-,0,0
2029-T,iPath VIX中期先物指数連動受益証券発行信託,東証,その他,1747,1755,1663,1755,219,368525
2030-T,iPath VIX短期先物指数連動受益証券発行信託,東証,その他,115,122,115,122,1342259,157693096
2031-T,NEXT NOTES 香港ハンセン・ダブル・ブル ETN,東証,その他,9900,10640,9900,10220,6724,70269670
2032-T,NEXT NOTES 香港ハンセン・ベア ETN,東証,その他,11170,11450,11170,11450,1572,17866910
2033-T,NEXT NOTES 韓国KOSPI・ダブル・ブル ETN,東証,その他,8370,8400,8250,8310,62,517230
2034-T,NEXT NOTES 韓国KOSPI・ベア ETN,東証,その他,13820,14090,13820,14020,421,5905320
2035-T,NEXT NOTES 日経平均VI先物指数 ETN,東証,その他,28000,28080,26300,27300,1289,35239030
2036-T,NEXT NOTES 日経・TOCOM 金 ダブル・ブル ETN,東証,その他,9380,9470,9330,9460,1486,13997660
2037-T,NEXT NOTES 日経・TOCOM 金 ベア ETN,東証,その他,9300,9300,9220,9260,194,1789850
2038-T,NEXT NOTES 日経・TOCOM 原油 ダブル・ブル ETN,東証,その他,2749,2861,2712,2861,1103973,3084237923
2039-T,NEXT NOTES 日経・TOCOM 原油 ベア ETN,東証,その他,14090,14210,13720,13810,17412,244441470
2040-T,NEXT NOTES NYダウ・ダブル・ブル・ドルヘッジ ETN,東証,その他,11080,11170,10990,11070,15482,171531940
2041-T,NEXT NOTES NYダウ・ベア・ドルヘッジ ETN,東証,その他,8540,8590,8510,8590,1662,14208090
2042-T,NEXT NOTES 東証マザーズ ETN,東証,その他,9170,9170,8920,9020,5133,46241120
2043-T,NEXT NOTES STOXX アセアン好配当50（円、ネットリターン）ETN,東証,その他,10200,10260,10190,10220,106,1080750
2044-T,NEXT NOTES S&P500 配当貴族（ネットリターン） ETN,東証,その他,10280,10320,10240,10270,20179,207388070
2045-T,NEXT NOTES S&Pシンガポールリート（ネットリターン）ETN,東証,その他,9130,9240,9110,9190,6924,63666400
2046-T,NEXT NOTES インドNifty・ダブル・ブル ETN,東証,その他,8240,8390,8210,8320,2290,19042230
2047-T,NEXT NOTES インドNifty・ベア ETN,東証,その他,10480,10480,10480,10480,50,524000
2048-T,NEXT NOTES 野村日本株高配当70（ドルヘッジ、ネットリターン）ETN,東証,その他,10110,10170,10000,10150,16268,164757000
2049-T,NEXT NOTES S&P500 VIX インバースETN,東証,その他,10110,10410,9230,9250,108387,1052723560
2053-T,中部飼料,東証1部,食料品,1072,1097,1062,1087,70500,75933700
2055-T,日和産業,東証2部,食料品,240,241,239,239,14000,3361000
2058-F,ヒガシマル,福証,食料品,825,830,825,830,200,165500
2060-T,フィード・ワンホールディングス,東証1部,食料品,138,140,135,138,1004100,138345400
2107-T,東洋精糖,東証1部,食料品,110,112,110,112,165000,18242000
2108-T,日本甜菜製糖,東証1部,食料品,192,195,192,194,121000,23367000
2109-T,三井製糖,東証1部,食料品,517,527,506,509,352000,180657000
2112-T,塩水港精糖,東証1部,食料品,241,244,239,240,47200,11369400
2114-T,フジ日本精糖,東証2部,食料品,406,406,397,398,5500,2206600
2117-T,日新製糖,東証2部,食料品,2851,2928,2851,2928,4300,12471500
2120-T,ネクスト,東証1部,サービス業,740,755,724,731,928400,683953800
2121-T,ミクシィ,東証マザーズ,サービス業,4350,4390,4275,4330,2312200,10036282500
2122-T,インタースペース,東証マザーズ,サービス業,737,794,722,766,29100,22174600
2124-T,ジェイエイシーリクルートメント,東証1部,サービス業,867,880,855,864,399900,346703900
2127-T,日本M&Aセンター,東証1部,サービス業,4905,4970,4815,4875,621700,3029330000
2128-T,ノバレーゼ,東証1部,サービス業,899,909,895,908,12700,11484200
2131-T,アコーディア・ゴルフ,東証1部,サービス業,1240,1249,1212,1233,832800,1021890300
2132-T,アイレップ,東証2部,サービス業,221,230,214,225,59700,13255200
2134-T,燦キャピタルマネージメント,JQスタンダード,サービス業,126,139,126,135,192600,25869400
2136-T,ヒップ,JQスタンダード,サービス業,521,528,512,524,12600,6565900
2137-S,光ハイツ・ヴェラス,札証アンビシャス,サービス業,930,930,930,930,200,186000
2138-T,クルーズ,JQスタンダード,情報・通信業,3080,3435,3055,3350,5604800,18250954500
2139-T,中広,東証2部,サービス業,695,698,658,697,14900,10229100
2144-T,やまねメディカル,JQグロース,サービス業,336,341,327,341,69600,23216700
2145-T,データリンクス,JQスタンダード,サービス業,1277,1399,1277,1398,1900,2613300
2146-T,UTグループ,JQスタンダード,サービス業,751,769,715,730,333400,247431700
2148-T,アイティメディア,東証マザーズ,サービス業,2270,2400,2166,2376,87700,200853200
2150-T,ケアネット,東証マザーズ,サービス業,820,857,820,838,6700,5570100
2151-T,タケエイ,東証1部,サービス業,1450,1527,1450,1518,231500,345091700
2152-T,幼児活動研究会,JQスタンダード,サービス業,681,681,672,678,2200,1493100
2153-T,E・Jホールディングス,東証2部,サービス業,988,989,968,968,5800,5652200
2154-T,トラスト・テック,東証1部,サービス業,2211,2226,2200,2202,13100,28932200
2156-T,セーラー広告,JQスタンダード,サービス業,260,300,260,280,28200,7986700
2157-T,コシダカホールディングス,JQスタンダード,サービス業,2440,2496,2424,2484,62700,153660200
2158-T,UBIC,東証マザーズ,サービス業,800,800,756,763,1054600,818558000
2159-T,フルスピード,東証マザーズ,サービス業,415,439,415,430,51800,22068200
2160-T,ジーエヌアイグループ,東証マザーズ,医薬品,215,217,210,214,778000,166074000
2162-T,日本マニュファクチャリングサービス,JQスタンダード,サービス業,916,924,888,890,327600,295761700
2163-T,アルトナー,JQスタンダード,サービス業,1290,1299,1283,1297,10800,13925300
2164-T,地域新聞社,JQグロース,サービス業,545,554,545,554,1800,987700
2165-T,メガロス,JQスタンダード,サービス業,1795,1805,1795,1800,1500,2699500
2168-T,パソナグループ,東証1部,サービス業,1213,1250,1201,1242,200200,245101000
2169-T,CDS,東証1部,サービス業,938,938,929,937,8200,7669200
2170-T,リンクアンドモチベーション,東証1部,サービス業,125,131,125,130,428900,54655800
2172-S,インサイト,札証アンビシャス,サービス業,290,300,290,296,800,236100
2173-T,博展,JQグロース,サービス業,467,494,467,490,3000,1433700
2174-T,GCAサヴィアン,東証1部,サービス業,1635,1656,1599,1619,112300,181797000
2175-T,エス・エム・エス,東証1部,サービス業,1857,1858,1760,1777,256500,457170900
2176-T,イナリサーチ,JQスタンダード,サービス業,869,884,828,850,254800,216948600
2178-T,トライステージ,東証マザーズ,サービス業,1680,1708,1675,1700,26200,44355700
2179-T,成学社,JQスタンダード,サービス業,939,939,933,938,1600,1498800
2180-T,サニーサイドアップ,JQグロース,サービス業,916,945,916,944,800,746700
2181-T,テンプホールディングス,東証1部,サービス業,5210,5360,5200,5300,371700,1960894000
2183-T,リニカル,東証1部,サービス業,1428,1470,1395,1427,56000,80227300
2185-T,シイエム・シイ,JQスタンダード,サービス業,3300,3440,3290,3365,9900,33220500
2186-T,ソーバル,JQスタンダード,サービス業,1212,1236,1202,1210,9700,11785200
2191-T,テラ,JQスタンダード,サービス業,866,907,866,886,113700,100387400
2193-T,クックパッド,東証1部,サービス業,2570,2574,2465,2506,1208600,3025117000
2195-T,アミタホールディングス,JQグロース,サービス業,780,800,758,788,2700,2109100
2196-T,エスクリ,東証1部,サービス業,936,957,920,940,85900,80225700
2198-T,アイ・ケイ・ケイ,東証1部,サービス業,540,561,529,539,50800,27579700
2201-T,森永製菓,東証1部,食料品,661,661,636,648,1946000,1256957000
2204-T,中村屋,東証1部,食料品,456,465,450,463,46000,21067000
2206-T,江崎グリコ,東証1部,食料品,6220,6230,6020,6130,416000,2540090000
2207-T,名糖産業,東証1部,食料品,1398,1398,1363,1372,10300,14176100
2208-T,ブルボン,東証2部,食料品,1780,1800,1780,1780,6000,10720000
2209-T,井村屋グループ,東証2部,食料品,655,660,651,651,8000,5238000
2211-T,不二家,東証1部,食料品,192,193,191,192,198000,38027000
2212-T,山崎製パン,東証1部,食料品,2050,2068,2013,2042,979000,1992950000
2215-T,第一屋製パン,東証1部,食料品,116,118,116,118,68000,7932000
2216-T,カンロ,東証2部,食料品,463,463,455,455,3000,1380000
2217-T,モロゾフ,東証1部,食料品,413,414,406,414,34000,13986000
2218-S,日糧製パン,札証,食料品,175,175,175,175,5000,875000
2220-T,亀田製菓,東証1部,食料品,4950,4985,4860,4975,34600,170604000
2221-T,岩塚製菓,JQスタンダード,食料品,6340,6350,6220,6250,9800,61759000
2222-T,寿スピリッツ,東証1部,食料品,3800,3800,3675,3740,22200,82807500
2224-T,コモ,JQスタンダード,食料品,2360,2364,2345,2359,3400,8009400
2226-T,フレンテ,JQスタンダード,食料品,2915,2915,2865,2865,200,578000
2228-T,シベール,JQスタンダード,食料品,2945,2945,2929,2929,4700,13794200
2229-T,カルビー,東証1部,食料品,4715,4715,4570,4630,764100,3534900000
2230-T,五洋食品産業,東証TPM,食料品,-,-,-,-,0,0
2264-T,森永乳業,東証1部,食料品,582,585,567,574,1032000,592006000
2266-T,六甲バター,東証1部,食料品,1607,1635,1593,1624,24800,39968400
2267-T,ヤクルト本社,東証1部,食料品,6930,6940,6770,6860,579700,3978618000
2268-T,B-R サーティワン アイスクリーム,JQスタンダード,食料品,4220,4220,4190,4200,600,2524000
2269-T,明治ホールディングス,東証1部,食料品,19600,19700,19150,19670,438700,8552635000
2270-T,雪印メグミルク,東証1部,食料品,2344,2350,2247,2311,564500,1296437500
2270-S,雪印メグミルク,札証,食料品,-,-,-,-,0,0
2281-T,プリマハム,東証1部,食料品,354,355,346,350,1559000,545827000
2282-T,日本ハム,東証1部,食料品,2822,2822,2732,2798,1482000,4117072000
2284-T,伊藤ハム,東証1部,食料品,757,761,744,759,524000,395321000
2286-T,林兼産業,東証1部,食料品,127,131,125,130,1933000,247292000
2288-T,丸大食品,東証1部,食料品,497,500,492,500,157000,78196000
2290-T,米久,東証1部,食料品,2776,2777,2720,2758,29300,80358100
2291-T,福留ハム,東証2部,食料品,408,413,399,403,24000,9709000
2292-T,エスフーズ,東証1部,食料品,2550,2550,2497,2524,72100,181514000
2293-T,滝沢ハム,JQスタンダード,食料品,455,455,452,452,5000,2266000
2294-T,柿安本店,JQスタンダード,食料品,1877,1898,1877,1890,7900,14894900
2300-T,きょくとう,JQスタンダード,サービス業,568,570,561,568,2100,1189500
2301-T,学情,東証1部,サービス業,1174,1180,1133,1145,54600,62643400
2303-T,ドーン,JQスタンダード,情報・通信業,919,921,853,870,158200,140779300
2304-T,CSSホールディングス,JQスタンダード,サービス業,484,484,466,468,11600,5507100
2305-T,スタジオアリス,東証1部,サービス業,2256,2263,2210,2247,22000,49101300
2307-T,クロスキャット,JQスタンダード,情報・通信業,458,464,455,463,12700,5847100
2309-T,シミックホールディングス,東証1部,サービス業,1590,1620,1590,1606,13100,21004200
2311-T,エプコ,JQスタンダード,サービス業,1463,1479,1430,1460,28500,41357100
2315-T,SJI,JQスタンダード,情報・通信業,40,41,39,41,1141800,45719800
2317-T,システナ,東証1部,情報・通信業,1140,1140,1105,1121,75100,84123500
2321-T,ソフトフロント,JQグロース,情報・通信業,305,318,296,314,2626700,804595300
2323-T,fonfun,JQスタンダード,情報・通信業,447,490,440,486,121000,57073000
2325-T,NJS,東証1部,サービス業,1466,1496,1448,1465,3700,5413200
2326-T,デジタルアーツ,東証1部,情報・通信業,2025,2088,1990,2065,218100,446812400
2327-T,新日鉄住金ソリューションズ,東証1部,情報・通信業,4615,4705,4540,4665,165900,770125000
2329-T,東北新社,JQスタンダード,情報・通信業,829,919,829,919,3800,3300600
2330-T,フォーサイド,JQスタンダード,情報・通信業,162,196,162,177,1229100,222625600
2331-T,綜合警備保障,東証1部,サービス業,5140,5200,5030,5070,662300,3367495000
2332-T,クエスト,JQスタンダード,情報・通信業,810,835,808,822,4000,3247800
2335-T,キューブシステム,東証1部,情報・通信業,626,627,616,622,17400,10809200
2337-T,いちごグループホールディングス,JQスタンダード,サービス業,268,269,265,267,2345400,626842900
2338-T,ファステップス,東証2部,情報・通信業,567,603,555,600,60500,35821500
2340-T,極楽湯,JQスタンダード,サービス業,609,609,589,606,108900,65378000
2341-T,アルバイトタイムス,JQスタンダード,サービス業,251,254,249,250,31100,7803800
2342-T,トランスジェニック,東証マザーズ,サービス業,546,588,546,571,389800,221042300
2344-T,平安レイサービス,JQスタンダード,サービス業,707,715,707,715,15900,11277000
2345-T,システム・テクノロジー・アイ,東証2部,情報・通信業,725,744,725,733,3200,2342400
2349-T,エヌアイデイ,JQスタンダード,情報・通信業,2312,2410,2312,2399,7400,17570200
2351-T,ASJ,東証マザーズ,情報・通信業,457,489,457,487,21800,10328600
2352-T,エイジア,東証マザーズ,情報・通信業,1120,1125,1087,1109,6600,7325000
2353-T,日本駐車場開発,東証1部,不動産業,160,165,159,164,2133800,346753100
2354-T,安川情報システム,東証2部,情報・通信業,239,246,239,239,17300,4162900
2359-T,コア,東証1部,情報・通信業,830,837,825,833,4800,3990000
2362-T,夢真ホールディングス,JQスタンダード,サービス業,778,790,775,790,671000,524687200
2369-T,メディビックグループ,東証マザーズ,サービス業,201,203,197,201,127100,25427700
2370-T,メディネット,東証マザーズ,サービス業,164,169,164,165,827700,137442900
2371-T,カカクコム,東証1部,サービス業,1975,1978,1906,1934,1333100,2574573900
2372-T,アイロムグループ,東証1部,サービス業,1653,1760,1640,1748,84300,143840300
2373-T,ケア21,JQスタンダード,サービス業,2293,2293,2293,2293,400,917200
2374-T,セントケア・ホールディング,JQスタンダード,サービス業,1230,1259,1219,1220,6900,8460800
2375-T,スリープログループ,東証2部,サービス業,354,369,353,368,11900,4337000
2376-T,サイネックス,東証2部,サービス業,1102,1166,1100,1150,4300,4872000
2378-T,ルネサンス,東証1部,サービス業,1369,1369,1341,1357,22200,30061800
2379-T,ディップ,東証1部,サービス業,2593,2640,2252,2296,1470600,3473427000
2384-T,SBSホールディングス,東証1部,陸運業,920,924,900,919,122800,111930000
2385-T,総医研ホールディングス,東証マザーズ,サービス業,201,207,199,203,111500,22621200
2388-T,ウェッジホールディングス,JQグロース,その他金融業,402,415,402,406,330200,133988800
2389-T,オプトホールディング,東証1部,サービス業,588,604,588,601,31600,18891900
2391-T,プラネット,JQスタンダード,サービス業,1446,1468,1417,1468,1000,1444700
2393-T,日本ケアサプライ,東証2部,サービス業,675,675,660,669,1700,1134700
2395-T,新日本科学,東証1部,サービス業,489,491,480,490,195700,95232900
2397-T,DNAチップ研究所,東証2部,サービス業,570,580,565,573,9100,5218000
2398-T,ツクイ,東証1部,サービス業,1081,1089,1048,1083,169100,181828500
2399-T,綜合臨床ホールディングス,東証1部,サービス業,434,440,434,439,15600,6829600
2400-T,メッセージ,JQスタンダード,サービス業,4230,4255,4170,4255,37800,159655000
2402-T,アマナ,東証マザーズ,サービス業,877,879,874,874,3500,3067900
2404-T,鉄人化計画,東証2部,サービス業,622,648,601,629,21400,13457000
2405-T,FUJIKOH,東証マザーズ,サービス業,569,579,555,571,7700,4371100
2406-T,アルテ サロン ホールディングス,JQスタンダード,サービス業,678,689,670,689,3900,2640800
2408-T,KG情報,JQスタンダード,サービス業,585,593,585,590,2000,1176700
2410-T,キャリアデザインセンター,東証1部,サービス業,1021,1053,1021,1046,87400,90661900
2411-T,ゲンダイエージェンシー,JQスタンダード,情報・通信業,670,672,668,671,6300,4218300
2412-T,ベネフィット・ワン,東証2部,サービス業,2171,2200,2100,2145,116600,250803000
2413-T,エムスリー,東証1部,サービス業,2743,2745,2651,2700,2288800,6173204700
2415-T,ヒューマンホールディングス,JQスタンダード,サービス業,845,845,801,813,5800,4785500
2417-T,ツヴァイ,東証2部,サービス業,840,844,830,837,3100,2593900
2418-T,ツカダ・グローバルホールディング,東証1部,サービス業,771,772,759,767,9600,7360000
2425-T,ケアサービス,JQグロース,サービス業,640,653,619,650,1000,642500
2427-T,アウトソーシング,東証1部,サービス業,2550,2640,2540,2625,276300,715109900
2428-T,ウェルネット,東証1部,サービス業,2650,2672,2592,2642,59300,156658900
2429-T,ワールドホールディングス,JQスタンダード,サービス業,1731,1745,1695,1713,144200,247451000
2432-T,ディー・エヌ・エー,東証1部,サービス業,2174,2276,2135,2222,2672800,5913397500
2433-T,博報堂DYホールディングス,東証1部,サービス業,1219,1233,1198,1229,1122100,1369014900
2435-T,シダー,JQスタンダード,サービス業,233,233,226,228,88700,20336800
2436-T,共同ピーアール,JQスタンダード,サービス業,666,680,666,678,4800,3208100
2437-T,シンワアートオークション,JQスタンダード,サービス業,295,295,285,287,29500,8539700
2438-T,アスカネット,東証マザーズ,サービス業,1540,1618,1506,1570,349700,542270600
2440-T,ぐるなび,東証1部,サービス業,1992,1992,1927,1942,485600,945281100
2445-T,エスアールジータカミヤ,東証1部,サービス業,655,668,637,648,76200,49561700
2449-T,プラップジャパン,JQスタンダード,サービス業,1138,1138,1086,1089,5700,6286200
2450-T,一休,東証1部,サービス業,2184,2198,2092,2124,487000,1039225000
2453-T,ジャパンベストレスキューシステム,東証1部,サービス業,244,244,241,244,82700,20076800
2454-T,オールアバウト,JQスタンダード,サービス業,533,546,530,546,27200,14671600
2458-T,夢テクノロジー,JQスタンダード,サービス業,809,822,809,820,4700,3839500
2459-T,アウンコンサルティング,東証マザーズ,サービス業,303,310,298,302,138500,41977800
2461-T,ファンコミュニケーションズ,東証1部,サービス業,887,906,881,895,860100,769070600
2462-T,ジェイコムホールディングス,東証1部,サービス業,991,999,961,991,36900,36252800
2464-T,ビジネス・ブレークスルー,東証マザーズ,サービス業,490,499,482,483,57500,28065400
2468-T,フュートレック,東証マザーズ,サービス業,441,459,440,444,98800,44064300
2469-T,ヒビノ,JQスタンダード,サービス業,4405,4675,4345,4645,24100,109031000
2471-T,エスプール,JQスタンダード,サービス業,864,864,834,854,12300,10482900
2475-T,WDBホールディングス,東証1部,サービス業,1384,1421,1351,1384,31400,43643100
2477-T,比較.com,東証マザーズ,サービス業,907,1008,905,985,98200,93027800
2479-T,ジェイテック,JQグロース,サービス業,226,264,226,234,849800,211784600
2480-T,システム・ロケーション,JQスタンダード,サービス業,1330,1348,1280,1290,6600,8634600
2481-T,タウンニュース社,JQスタンダード,サービス業,453,462,450,450,16000,7277700
2483-T,翻訳センター,JQスタンダード,サービス業,4120,4185,4115,4150,5500,22802000
2484-T,夢の街創造委員会,JQスタンダード,情報・通信業,1102,1330,1095,1156,38200,45087400
2485-T,ティア,東証1部,サービス業,820,820,799,809,67300,54478900
2487-T,CDG,JQスタンダード,サービス業,1840,1845,1835,1845,2700,4965100
2488-T,日本サード・パーティ,JQスタンダード,サービス業,625,628,613,621,7800,4851200
2489-T,アドウェイズ,東証マザーズ,サービス業,851,858,831,841,858600,722030200
2491-T,バリューコマース,東証1部,サービス業,528,533,521,533,122500,64624400
2492-T,インフォマート,東証マザーズ,サービス業,1326,1352,1316,1326,43300,57530800
2493-T,イーサポートリンク,JQスタンダード,サービス業,1991,1992,1963,1978,9100,18058900
2497-T,ユナイテッド,東証マザーズ,サービス業,1466,1510,1447,1465,886400,1300959300
2498-T,ACKグループ,JQスタンダード,サービス業,600,614,600,613,5200,3175900
2499-T,日本和装ホールディングス,東証2部,サービス業,255,258,250,255,16200,4116900
2501-T,サッポロホールディングス,東証1部,食料品,466,468,462,464,2355000,1093501000
2501-S,サッポロホールディングス,札証,食料品,-,-,-,-,0,0
2502-T,アサヒグループホールディングス,東証1部,食料品,3948.5,3951.0,3865.5,3922.5,1377400,5385854100
2503-T,キリンホールディングス,東証1部,食料品,1760.0,1780.0,1753.5,1777.0,4198500,7423566350
2503-F,キリンホールディングス,福証,食料品,-,-,-,-,0,0
2503-S,キリンホールディングス,札証,食料品,-,-,-,-,0,0
2531-T,宝ホールディングス,東証1部,食料品,814,829,803,825,743900,609586700
2533-T,オエノンホールディングス,東証1部,食料品,216,219,216,218,158000,34305000
2538-T,ジャパン・フード&リカー・アライアンス,東証2部,食料品,43,45,42,43,10410000,451558000
2540-T,養命酒製造,東証1部,食料品,1000,1018,993,993,21000,21051000
2573-T,北海道コカ・コーラボトリング,東証2部,食料品,590,600,590,597,16000,9474000
2573-S,北海道コカ・コーラボトリング,札証,食料品,-,-,-,-,0,0
2579-T,コカ・コーラウエスト,東証1部,食料品,2404,2427,2370,2413,362500,871682400
2579-F,コカ・コーラウエスト,福証,食料品,-,-,-,-,0,0
2580-T,コカ・コーライーストジャパン,東証1部,食料品,2110,2159,2096,2153,288300,614273700
2586-T,フルッタフルッタ,東証マザーズ,食料品,1709,1709,1680,1699,2600,4423400
2587-T,サントリー食品インターナショナル,東証1部,食料品,5120,5130,5030,5080,931200,4739115000
2588-T,ウォーターダイレクト,東証2部,食料品,489,507,485,490,1500,745900
2590-T,ダイドードリンコ,東証1部,食料品,5100,5190,5080,5190,40000,205657000
2593-T,伊藤園,東証1部,食料品,2699,2744,2649,2741,522000,1412359100
25935-T,伊藤園 第1種  優先,東証1部,食料品,1855,1861,1846,1848,24400,45165500
2594-T,キーコーヒー,東証1部,食料品,2194,2227,2151,2225,42900,94237900
2597-T,ユニカフェ,東証1部,食料品,905,910,898,904,7800,7048900
2599-T,ジャパンフーズ,東証1部,食料品,1099,1124,1099,1114,7800,8658500
2602-T,日清オイリオグループ,東証1部,食料品,454,461,449,460,473000,216162000
2607-T,不二製油,東証1部,食料品,1712,1737,1674,1701,547300,929618600
2608-T,ボーソー油脂,東証2部,食料品,161,170,161,168,12000,1995000
2611-T,攝津製油,東証2部,食料品,-,-,-,-,0,0
2612-T,かどや製油,東証1部,食料品,2693,2703,2692,2703,1000,2698600
2613-T,J-オイルミルズ,東証1部,食料品,387,397,385,393,206000,80578000
2651-T,ローソン,東証1部,小売業,8550,8600,8450,8510,490300,4171991000
2652-T,まんだらけ,東証2部,小売業,692,711,686,705,28400,19677700
2653-T,イオン九州,JQスタンダード,小売業,1692,1692,1682,1688,800,1349800
2654-T,アスモ,東証2部,卸売業,72,75,72,75,330000,24315000
2655-T,マックスバリュ東北,東証2部,小売業,1187,1187,1172,1181,4800,5673300
2656-T,ベクター,JQスタンダード,小売業,398,420,398,419,23300,9563900
2658-T,ウライ,JQスタンダード,卸売業,162,162,158,158,2000,320000
2659-T,サンエー,東証1部,小売業,5620,5670,5510,5600,49800,277627000
2662-T,ダイユーエイト,東証1部,小売業,785,785,772,775,13900,10797800
2664-T,カワチ薬品,東証1部,小売業,2033,2046,1985,1994,72800,145719700
2666-T,オートウェーブ,JQスタンダード,小売業,130,138,125,127,1429700,185480600
2667-T,イメージ ワン,JQスタンダード,卸売業,329,336,320,329,58600,19383100
2668-T,タビオ,東証2部,卸売業,1208,1212,1199,1208,6700,8073400
2669-T,カネ美食品,JQスタンダード,小売業,3500,3545,3480,3540,2600,9124000
2670-T,エービーシー・マート,東証1部,小売業,7320,7370,7180,7210,322900,2337611000
2673-T,夢みつけ隊,JQスタンダード,小売業,155,159,153,156,50800,7952200
2674-T,ハードオフコーポレーション,東証1部,小売業,1475,1475,1429,1453,30700,44460000
2675-T,ダイナック,東証2部,小売業,1640,1649,1630,1632,1900,3108800
2676-T,高千穂交易,東証1部,卸売業,1023,1040,1006,1019,8000,8135000
2678-T,アスクル,東証1部,小売業,4195,4245,4130,4200,239300,1004122500
2681-T,ゲオホールディングス,東証1部,小売業,1845,1876,1811,1844,237300,436039600
2683-T,魚喜,東証2部,小売業,1639,1648,1612,1616,15600,25339200
2685-T,アダストリア,東証1部,小売業,5900,6340,5860,6250,375900,2306754000
2687-T,シー・ヴイ・エス・ベイエリア,東証1部,小売業,109,113,109,113,140000,15615000
2689-T,カワニシホールディングス,東証2部,卸売業,1150,1177,1150,1159,2900,3342100
2692-T,伊藤忠食品,東証1部,卸売業,4050,4185,4050,4185,10400,42699000
2693-T,YKT,JQスタンダード,卸売業,191,204,191,204,91400,18147100
2694-T,ジー・テイスト,JQスタンダード,小売業,92,94,91,93,143500,13299200
2695-T,くらコーポレーション,東証1部,小売業,3440,3440,3355,3415,78600,266048500
2698-T,キャンドゥ,東証1部,小売業,1530,1539,1527,1532,19500,29869400
2700-T,木徳神糧,JQスタンダード,卸売業,658,679,657,659,15000,9965000
2702-T,日本マクドナルドホールディングス,JQスタンダード,小売業,2640,2653,2615,2653,668500,1765171900
2703-T,日本ライトン,JQスタンダード,卸売業,238,248,238,242,96600,23357600
2705-T,大戸屋ホールディングス,JQスタンダード,小売業,1899,1904,1892,1899,12000,22776600
2706-T,ブロッコリー,JQスタンダード,その他製品,435,449,431,439,783000,343980000
2708-T,久世,JQスタンダード,卸売業,707,719,694,702,700,492700
2710-T,シーエスロジネット,JQスタンダード,卸売業,249,249,249,249,1000,249000
2714-T,プラマテルズ,JQスタンダード,卸売業,490,493,485,491,1800,880000
2715-T,エレマテック,東証1部,卸売業,2741,2754,2723,2744,10700,29316300
2719-T,キタムラ,東証2部,小売業,766,773,766,771,3700,2852600
2721-T,ジェイホールディングス,JQスタンダード,卸売業,517,554,517,551,5200,2786900
2722-T,アイケイ,JQスタンダード,小売業,865,866,864,866,800,692000
2726-T,パル,東証1部,小売業,3615,3615,3515,3590,126100,451567500
2729-T,JALUX,東証1部,卸売業,2203,2248,2192,2214,40400,89166700
2730-T,エディオン,東証1部,小売業,878,885,859,861,768000,666382000
2733-T,あらた,東証1部,卸売業,2576,2591,2550,2589,31100,79988000
2734-T,サーラコーポレーション,東証1部,小売業,567,569,557,565,7900,4453500
2735-T,ワッツ,東証1部,小売業,996,998,975,988,16200,15967900
2736-T,サダマツ,JQスタンダード,小売業,310,314,308,310,37000,11485000
2737-T,トーメンデバイス,東証1部,卸売業,2100,2100,2050,2082,3900,8136000
2742-T,ハローズ,JQスタンダード,小売業,2131,2150,2100,2107,2100,4446800
2743-T,ハイブリッド・サービス,JQスタンダード,卸売業,225,237,225,234,14800,3385900
2747-T,北雄ラッキー,JQスタンダード,小売業,-,-,-,-,0,0
2749-T,JPホールディングス,東証1部,サービス業,309,312,301,305,346300,105679500
2750-T,石光商事,JQスタンダード,卸売業,320,326,320,320,9500,3056800
2751-T,テンポスバスターズ,JQスタンダード,卸売業,2218,2218,2121,2143,36100,78164100
2752-T,フジオフードシステム,JQスタンダード,小売業,2467,2467,2331,2343,44600,105650800
2753-T,あみやき亭,東証1部,小売業,4585,4715,4585,4710,7800,36275500
2754-T,東葛ホールディングス,JQスタンダード,小売業,331,331,331,331,1000,331000
